repo,stars,forks,open_issues,default_branch,updated_at,html_url,description
DormyMo/SpiderKeeper,2778,498,70,master,2026-02-28T12:26:40Z,https://github.com/DormyMo/SpiderKeeper,"admin ui for scrapy/open source scrapinghub "
OpenAPITools/openapi-diff,1053,184,83,master,2026-03-04T07:25:23Z,https://github.com/OpenAPITools/openapi-diff,"Utility for comparing two OpenAPI specifications. "
Redocly/redocly-cli,1389,205,182,main,2026-03-04T16:30:13Z,https://github.com/Redocly/redocly-cli,"⚒️ Redocly CLI makes OpenAPI easy. Lint/validate to any standard, generate beautiful docs, and more. "
airbytehq/abctl,80,14,5,main,2026-02-24T19:30:28Z,https://github.com/airbytehq/abctl,"Airbyte's CLI for managing local Airbyte installations "
airbytehq/airbyte,20818,5075,2325,master,2026-03-04T17:54:11Z,https://github.com/airbytehq/airbyte,"The leading data integration platform for ETL / ELT data pipelines from APIs, databases & files to data warehouses, data lakes & data lakehouses. Both self-hosted and Cloud-hosted. "
apache/airflow,44482,16588,1859,main,2026-03-04T14:30:18Z,https://github.com/apache/airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows "
apache/nifi,5990,2935,35,main,2026-03-04T15:46:20Z,https://github.com/apache/nifi,"Apache NiFi "
argoproj/argo-rollouts,3400,1096,603,master,2026-03-03T18:26:05Z,https://github.com/argoproj/argo-rollouts,"Progressive Delivery for Kubernetes "
asyncapi/parser-js,141,124,21,master,2026-02-23T09:34:24Z,https://github.com/asyncapi/parser-js,"AsyncAPI parser for Javascript (browser-compatible too). "
asyncapi/spec,5116,383,37,master,2026-03-04T14:51:21Z,https://github.com/asyncapi/spec,"The AsyncAPI specification allows you to create machine-readable definitions of your asynchronous APIs. "
bufbuild/buf,10880,345,58,main,2026-03-04T15:40:53Z,https://github.com/bufbuild/buf,"The best way of working with Protocol Buffers. "
dagster-io/dagster,15055,2006,2787,master,2026-03-04T17:54:21Z,https://github.com/dagster-io/dagster,"An orchestration platform for the development, production, and observation of data assets. "
getsentry/json-schema-diff,30,7,10,main,2026-02-03T05:20:35Z,https://github.com/getsentry/json-schema-diff,"Diff changes between JSON schemas "
getsops/sops,21054,1004,410,main,2026-03-04T15:41:55Z,https://github.com/getsops/sops,"Simple and flexible tool for managing secrets "
meilisearch/meilisearch,56184,2397,309,main,2026-03-04T17:14:32Z,https://github.com/meilisearch/meilisearch,"A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications. "
meltano/meltano,2375,203,281,main,2026-03-04T08:53:27Z,https://github.com/meltano/meltano,"Meltano: the declarative code-first data integration engine that powers your wildest data and ML-powered product ideas. Say goodbye to writing, maintaining, and scaling your own API integrations. "
opensearch-project/OpenSearch,12487,2427,2615,main,2026-03-04T16:59:26Z,https://github.com/opensearch-project/OpenSearch,"🔎 Open source distributed and RESTful search engine. "
pact-foundation/pact-js,1745,351,112,master,2026-03-04T08:48:52Z,https://github.com/pact-foundation/pact-js,"JS version of Pact. Pact is a contract testing framework for HTTP APIs and non-HTTP asynchronous messaging systems. "
pact-foundation/pact_broker,739,186,119,master,2026-03-03T04:13:38Z,https://github.com/pact-foundation/pact_broker,"Enables your consumer driven contracts workflow "
prometheus-community/helm-charts,6011,5370,194,main,2026-03-04T16:27:51Z,https://github.com/prometheus-community/helm-charts,"Prometheus community Helm charts "
qdrant/qdrant,29274,2065,470,master,2026-03-04T17:26:18Z,https://github.com/qdrant/qdrant,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/ "
redpanda-data/redpanda,11808,721,668,dev,2026-03-04T16:34:59Z,https://github.com/redpanda-data/redpanda,"Redpanda is a streaming data platform for developers. Kafka API compatible. 10x faster. No ZooKeeper. No JVM! "
stoplightio/spectral,3026,278,247,develop,2026-03-04T14:30:44Z,https://github.com/stoplightio/spectral,"A flexible JSON/YAML linter for creating automated style guides, with baked in support for OpenAPI (v3.1, v3.0, and v2.0), Arazzo v1.0, as well as AsyncAPI v2.x. "
temporalio/sdk-python,978,158,121,main,2026-03-03T14:47:34Z,https://github.com/temporalio/sdk-python,"Temporal Python SDK "
temporalio/temporal,18648,1381,658,main,2026-03-04T17:07:35Z,https://github.com/temporalio/temporal,"Temporal service "
weaviate/weaviate,15725,1201,604,main,2026-03-04T16:41:34Z,https://github.com/weaviate/weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​. "
